CITY_TR,DISTRICT_TR,CITY_EN,DISTRICT_EN,DISSOLVEDC,DISTRICTCODE,INSHP,CITYDATE,DISTRICTDATE,DISTRICTFROM,DISSOLVE,CENTRALOLD,CENTRALDISTRICT,DISTRICTCOUNT,CITYCODE,ISO31662,NUTS,AREA,POP2000,POP2014,FROM,FROMDATE,METROPOL,METROPOLDATE
Ardahan,Hanak,Ardahan,Hanak,1380,1380,1,06/03/92,,,,0,0,6,75,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
Ardahan,Merkez,Ardahan,Merkez,1144,1144,1,06/03/92,,,,0,0,6,75,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
Ardahan,Posof,Ardahan,Posof,1579,1579,1,06/03/92,,,,0,0,6,75,TR-75,TRA24,4967.63,133756,100809,Kars,05/27/92,0,NA
Artvin,Ardanuç,Artvin,Ardanuc,1145,1145,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Arhavi,Artvin,Arhavi,1147,1147,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Borçka,Artvin,Borcka,1202,1202,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Hopa,Artvin,Hopa,1395,1395,1,,,,6,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Kemalpaşa,Artvin,Kemalpasa,1395,2105,1,,08/25/17,Hopa,6,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Merkez,Artvin,Merkez,1152,1152,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Murgul,Artvin,Murgul,1828,1828,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Şavşat,Artvin,Savsat,1653,1653,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Artvin,Yusufeli,Artvin,Yusufeli,1736,1736,1,,,,,0,0,9,8,TR-08,TR905,7367.1,191934,169674,NA,NA,0,NA
Aydın,Bozdoğan,Aydin,Bozdogan,1206,1206,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Buharkent,Aydin,Buharkent,1781,1781,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Çine,Aydin,Cine,1256,1256,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Didim,Aydin,Didim,2000,2000,1,,04/09/97,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Efeler,Aydin,Efeler,1159,2076,1,,12/06/12,Merkez,7,0,1,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Germencik,Aydin,Germencik,1348,1348,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,İncirliova,Aydin,Incirliova,1807,1807,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Karacasu,Aydin,Karacasu,1435,1435,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Karpuzlu,Aydin,Karpuzlu,1957,1957,1,,05/20/90,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Koçarlı,Aydin,Kocarli,1479,1479,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Köşk,Aydin,Kosk,1968,1968,1,,05/20/90,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Kuşadası,Aydin,Kusadasi,1497,1497,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
Aydın,Kuyucak,Aydin,Kuyucak,1498,1498,1,,,,,0,0,17,9,TR-09,TR321,7904.43,950757,1041979,NA,NA,1,2013
