NAME_1_TR,NAME_2_TR,NAME_1_EN,NAME_2_EN,DIST_CNT,CODE,IN_MIB,fromshp1,fromshp2,,IN_GADM
BİNGÖL,YEDİSU,BINGOL,YEDISU,7,1996,1,BİNGÖL ,YEDİSU,TRUE,1
BİTLİS,ADİLCEVAZ,BITLIS,ADILCEVAZ,6,1106,1,BİTLİS ,ADİLCEVAZ,TRUE,1
BİTLİS,AHLAT,BITLIS,AHLAT,6,1112,1,BİTLİS ,AHLAT,TRUE,1
BİTLİS,GÜROYMAK,BITLIS,GUROYMAK,6,1798,1,BİTLİS ,GÜROYMAK,TRUE,1
BİTLİS,HİZAN,BITLIS,HIZAN,6,1394,1,BİTLİS ,HİZAN,TRUE,1
BİTLİS,MERKEZ,BITLIS,MERKEZ,,1196,0,BİTLİS ,MERKEZ,TRUE,1
BİTLİS,MUTKİ,BITLIS,MUTKI,6,1537,1,BİTLİS ,MUTKİ,TRUE,1
BİTLİS,TATVAN,BITLIS,TATVAN,6,1669,1,BİTLİS ,TATVAN,TRUE,1
BOLU,DÖRTDİVAN,BOLU,DORTDIVAN,8,1916,1,BOLU ,DÖRTDİVAN,TRUE,1
BOLU,GEREDE,BOLU,GEREDE,8,1346,1,BOLU ,GEREDE,TRUE,1
BOLU,GÖYNÜK,BOLU,GOYNUK,8,1364,1,BOLU ,GÖYNÜK,TRUE,1
BOLU,KIBRISCIK,BOLU,KIBRISCIK,8,1466,1,BOLU ,KIBRISCIK,TRUE,1
BOLU,MENGEN,BOLU,MENGEN,8,1522,1,BOLU ,MENGEN,TRUE,1
BOLU,MERKEZ,BOLU,MERKEZ,,1199,0,BOLU ,MERKEZ,TRUE,1
BOLU,MUDURNU,BOLU,MUDURNU,8,1531,1,BOLU ,MUDURNU,TRUE,1
BOLU,SEBEN,BOLU,SEBEN,8,1610,1,BOLU ,SEBEN,TRUE,1
BOLU,YENİÇAĞA,BOLU,YENICAGA,8,1997,1,BOLU ,YENİÇAĞA,TRUE,1
BURDUR,AĞLASUN,BURDUR,AGLASUN,10,1109,1,BURDUR ,AĞLASUN,TRUE,1
BURDUR,ALTINYAYLA,BURDUR,ALTINYAYLA,10,1874,1,BURDUR ,ALTINYAYLA,TRUE,1
BURDUR,BUCAK,BURDUR,BUCAK,10,1211,1,BURDUR ,BUCAK,TRUE,1
BURDUR,ÇAVDIR,BURDUR,CAVDIR,10,1899,1,BURDUR ,ÇAVDIR,TRUE,1
BURDUR,ÇELTİKÇİ,BURDUR,CELTIKCI,10,1903,1,BURDUR ,ÇELTİKÇİ,TRUE,1
BURDUR,GÖLHİSAR,BURDUR,GOLHISAR,10,1357,1,BURDUR ,GÖLHİSAR,TRUE,1
